carat,cut,color,clarity,depth,table,x,y,z,price_predicted
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5237.051071001192
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,7144.606345154851
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,481.9699918493459
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,928.645279458551
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2270.749129701275
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3856.633561470011
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3805.7384696399845
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3525.0441236370348
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4679.975008804136
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3032.0182624942177
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1023.5007688945803
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,751.103747083252
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,10761.1603707441
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5931.387331223337
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1603.8164623030873
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,594.3270476152733
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,13119.823027990074
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,11660.096162435388
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,674.9557608555081
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,1351.229571310778
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,5880.758602785371
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,639.2051738029165
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1962.268812532791
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3626.3799354425405
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,1063.2405563105056
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,767.9220908088647
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4944.028537547842
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,8516.924144050136
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2023.8278340107836
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,779.0955510782356
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2037.8268965085226
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3954.328445839456
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1464.0719966621052
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4295.442385684238
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5113.072915572211
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6216.016864051513
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,16074.910768029957
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,11888.0688725287
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,11541.23557166683
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,582.8676593164419
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2624.379495035694
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3608.5670820882915
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,10644.868306248307
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1322.3806906108946
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,2204.9439114824436
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,5221.345729670227
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1598.776016640944
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9452.255366198811
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,1146.6533134077229
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9676.1543804067
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,6228.402937851083
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,12068.893202509049
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3269.3205406356433
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,959.2312918734444
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,15877.000651062936
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,648.7547169648792
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1565.9433899469636
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3920.1242694082393
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4433.778758462847
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,6589.477777045942
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,1509.788500230405
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1485.0068512269672
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4118.039030329802
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3626.511549254777
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2966.78536474373
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1313.0184029334043
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2694.521221857986
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3705.1174373023096
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5246.888628012697
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,2641.147501085196
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6347.373426039077
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2687.921092265684
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,6334.6930874994205
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,2650.9025346738367
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3470.052423173172
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14408.768151229167
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,932.3955036972
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3132.546825670774
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3530.026753719805
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,15492.716467328148
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,2926.9840882951494
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3101.177692353087
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,961.9643916881487
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,709.2829821430211
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,779.6980091192788
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,6856.637781481008
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,12518.515995438016
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,4997.286746481706
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1213.0733820167131
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,2716.0842478271347
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,6136.504901362287
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2076.707096031515
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,829.9183911396022
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,733.5213286897209
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2291.435513793787
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,6935.623457027746
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,7304.556602968043
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,5485.38674536378
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,401.5992184650546
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,497.27985665532947
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,967.3972504890717
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2389.0026163573843
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,1281.3701532306127
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,627.5176118381644
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4453.515118241094
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1273.337616562825
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,8057.568334449501
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1357.7149582755292
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3434.3484525565154
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1334.0549856287466
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4107.845014476929
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,633.4369209566016
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,4391.959898049611
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7237.964142199722
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3782.724622601929
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5923.439648941089
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,3529.5927566777254
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2030.07790832523
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3139.4750141516183
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,569.0141416534689
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,2972.676591684101
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,6113.776488176592
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,8496.076292050715
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,8690.767920135706
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,2559.7666906549302
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,1349.6945469584587
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,1560.7919738593087
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,1407.25449916324
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,843.9034580442765
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,1480.435010311888
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,2646.608757571993
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,9295.326255602658
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,7910.474357246958
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,5236.1470899817095
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,1293.4315416586003
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,1217.6832234333249
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1073.9933514531028
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,640.3082751419431
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,6260.561475762407
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,1107.095466106015
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,1092.1092246570659
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,1364.590329427361
0.31,Ideal,E,VS2,61.5,56.0,4.39,4.42,2.71,667.1667492207783
1.72,Good,D,SI2,63.4,62.0,7.53,7.59,4.79,11480.18800748855
1.27,Ideal,H,SI1,59.8,57.0,7.08,7.01,4.22,6840.7400065281245
1.0,Good,D,VS2,62.8,61.0,6.31,6.34,3.97,5774.201243934993
1.59,Premium,I,VS2,59.9,60.0,7.61,7.57,4.55,10480.3275656419
0.38,Very Good,F,VS2,60.9,56.0,4.67,4.72,2.86,888.3117455726789
2.39,Ideal,J,VS1,62.1,57.0,8.53,8.57,5.31,21127.799327192875
1.01,Premium,F,SI1,62.2,59.0,6.36,6.41,3.97,4989.779795995314
0.31,Premium,H,VVS1,62.6,58.0,4.33,4.29,2.7,703.5958617994623
2.05,Ideal,J,VS1,61.8,58.0,8.12,8.16,5.03,15826.72263853527
0.7,Good,F,SI1,61.1,61.0,5.68,5.71,3.48,2347.7959729606077
1.01,Fair,I,I1,56.1,63.0,6.7,6.65,3.74,2026.480336040519
1.55,Very Good,H,VS2,63.3,56.0,7.38,7.32,4.65,10840.074872796456
0.33,Premium,E,VVS1,59.7,58.0,4.49,4.52,2.69,963.3821207036232
1.51,Premium,E,SI1,62.9,62.0,7.31,7.21,4.57,11163.228640208972
0.26,Very Good,D,VVS2,59.1,59.0,4.21,4.28,2.51,580.5994073869264
1.01,Premium,D,SI1,59.8,54.0,6.6,6.5,3.93,5510.834912579867
0.42,Very Good,D,SI1,60.2,57.0,4.85,4.89,2.93,1026.1474347955761
1.03,Premium,H,I1,62.9,59.0,6.41,6.3,4.0,2650.7752568732153
1.57,Ideal,I,SI2,62.6,58.0,7.38,7.41,4.63,7466.723394857038
1.01,Very Good,G,VS1,63.1,55.0,6.34,6.37,4.01,5837.353792186997
2.51,Premium,J,SI2,59.3,58.0,8.87,8.83,5.25,14682.478323776042
0.7,Very Good,D,SI1,63.2,55.0,5.62,5.65,3.56,2674.27545458731
0.95,Ideal,G,VS2,61.6,56.0,6.34,6.3,3.89,4910.738664404759
0.32,Ideal,E,SI2,62.7,55.0,4.39,4.42,2.76,507.184418436814
1.25,Premium,J,SI2,62.3,59.0,6.82,6.86,4.26,3930.413422938777
2.26,Premium,I,SI2,62.0,58.0,8.4,8.37,5.2,14534.295973474578
0.28,Ideal,G,IF,60.9,57.0,4.24,4.27,2.59,686.9087981714152
1.52,Ideal,I,SI1,61.4,57.0,7.4,7.43,4.55,8553.906019019612
0.4,Good,D,VS1,56.3,59.0,4.94,4.97,2.79,1158.338490603826
1.7,Very Good,F,SI2,63.4,57.0,7.54,7.57,4.79,10648.597488089976
2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,8995.843562283904
0.3,Ideal,D,VS2,62.2,54.0,4.31,4.28,2.67,654.4416288096099
0.55,Very Good,E,VS2,61.6,60.0,5.23,5.27,3.23,1868.7101533256716
0.33,Premium,E,VVS1,59.7,58.0,4.52,4.49,2.69,963.3821207036232
1.16,Ideal,G,VVS2,62.0,56.0,6.75,6.71,4.17,8682.338382159209
1.51,Very Good,J,SI1,62.9,59.0,7.25,7.29,4.57,6627.831321930904
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64,622.5945281302365
0.7,Very Good,E,VS1,63.4,57.0,5.63,5.67,3.58,3270.066805605209
0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,595.7173891650249
0.52,Ideal,E,VS2,61.2,56.0,5.2,5.16,3.17,1767.651890359226
